,seed,test_acc,size,total_time
0,1,0.9027777777777777,5.0,0.043894052505493164
1,2,0.8888888888888888,4.0,0.048294782638549805
2,3,0.9027777777777778,5.0,0.048978567123413086
3,4,0.9444444444444444,5.0,0.06093931198120117
4,5,0.9305555555555556,5.0,0.05615806579589844
