,seed,num_expansions,test_acc,size,total_time,lower_bound,upper_bound
0,0,10,1.0,3.0,0.043678998947143555,22.663985865210982,28.122913649117017
1,0,100,1.0,3.0,0.07178139686584473,28.122913649117017,28.122913649117017
2,0,1000,1.0,3.0,0.09908628463745117,28.122913649117017,28.122913649117017
3,0,10000,1.0,3.0,0.12726116180419922,28.122913649117017,28.122913649117017
4,1,10,0.85,4.0,0.05044269561767578,22.20831732256571,25.444209169927888
5,1,100,0.85,4.0,0.07807636260986328,25.444209169927888,25.444209169927888
6,1,1000,0.85,4.0,0.10555076599121094,25.444209169927888,25.444209169927888
7,1,10000,0.85,4.0,0.1328110694885254,25.444209169927888,25.444209169927888
8,2,10,0.8666666666666667,3.0,0.04428815841674805,22.460511181402538,27.90999398546534
9,2,100,0.85,4.0,0.07248115539550781,27.027831924046836,27.027831924046836
10,2,1000,0.85,4.0,0.10170936584472656,27.027831924046836,27.027831924046836
11,2,10000,0.85,4.0,0.13242387771606445,27.027831924046836,27.027831924046836
12,3,10,0.8333333333333333,4.0,0.043406009674072266,22.387519166368776,24.76221930962828
13,3,100,0.8333333333333333,4.0,0.0712137222290039,24.76221930962828,24.76221930962828
14,3,1000,0.8333333333333333,4.0,0.09755730628967285,24.76221930962828,24.76221930962828
15,3,10000,0.8333333333333333,4.0,0.11875033378601074,24.76221930962828,24.76221930962828
16,4,10,0.9333333333333333,4.0,0.027916908264160156,22.473466534020595,29.2271134974117
17,4,100,0.9333333333333333,4.0,0.05473685264587402,28.671956163680164,29.2271134974117
18,4,1000,0.9333333333333333,4.0,0.0811924934387207,29.2271134974117,29.2271134974117
19,4,10000,0.9333333333333333,4.0,0.10964059829711914,29.2271134974117,29.2271134974117
