,seed,num_expansions,test_acc,size,total_time,lower_bound,upper_bound
0,0,10,1.0,3.0,0.04449868202209473,22.663985865210982,28.122913649117017
1,0,100,1.0,3.0,0.06509208679199219,28.122913649117017,28.122913649117017
2,0,1000,1.0,3.0,0.08566784858703613,28.122913649117017,28.122913649117017
3,0,10000,1.0,3.0,0.10533642768859863,28.122913649117017,28.122913649117017
4,1,10,0.85,4.0,0.03890371322631836,22.20831732256571,25.444209169927888
5,1,100,0.85,4.0,0.05918240547180176,25.444209169927888,25.444209169927888
6,1,1000,0.85,4.0,0.0795438289642334,25.444209169927888,25.444209169927888
7,1,10000,0.85,4.0,0.1002647876739502,25.444209169927888,25.444209169927888
8,2,10,0.8666666666666667,3.0,0.04781699180603027,22.460511181402538,27.90999398546534
9,2,100,0.85,4.0,0.07145237922668457,27.027831924046836,27.027831924046836
10,2,1000,0.85,4.0,0.09240555763244629,27.027831924046836,27.027831924046836
11,2,10000,0.85,4.0,0.11862373352050781,27.027831924046836,27.027831924046836
12,3,10,0.8333333333333333,4.0,0.040169715881347656,22.387519166368776,24.76221930962828
13,3,100,0.8333333333333333,4.0,0.06030917167663574,24.76221930962828,24.76221930962828
14,3,1000,0.8333333333333333,4.0,0.08180642127990723,24.76221930962828,24.76221930962828
15,3,10000,0.8333333333333333,4.0,0.10603952407836914,24.76221930962828,24.76221930962828
16,4,10,0.9333333333333333,4.0,0.03999137878417969,22.473466534020595,29.2271134974117
17,4,100,0.9333333333333333,4.0,0.06089019775390625,28.671956163680164,29.2271134974117
18,4,1000,0.9333333333333333,4.0,0.08207201957702637,29.2271134974117,29.2271134974117
19,4,10000,0.9333333333333333,4.0,0.10343360900878906,29.2271134974117,29.2271134974117
