,seed,test_acc,size,total_time
0,1,0.85,4.0,0.0403749942779541
1,2,0.85,4.0,0.03604412078857422
2,3,0.8333333333333333,4.0,0.03757882118225098
3,4,0.9333333333333333,4.0,0.04040956497192383
4,5,0.8666666666666667,5.0,0.03856062889099121
