,seed,test_acc,size,total_time
0,1,0.85,4.0,0.035947561264038086
1,2,0.85,4.0,0.03382158279418945
2,3,0.8333333333333333,4.0,0.03263378143310547
3,4,0.9333333333333333,4.0,0.03364992141723633
4,5,0.8666666666666667,5.0,0.03372597694396973
