,seed,test_acc,size,total_time
0,1,0.85,4.0,0.04358077049255371
1,2,0.8666666666666667,3.0,0.03783535957336426
2,3,0.8333333333333333,4.0,0.03779935836791992
3,4,0.9333333333333333,4.0,0.03901100158691406
4,5,0.8833333333333333,4.0,0.03914594650268555
