,seed,test_acc,size,total_time
0,1,0.8611111111111112,9.0,0.3016231060028076
1,2,0.8555555555555555,7.0,0.2794051170349121
2,3,0.7833333333333333,7.0,0.29123783111572266
3,4,0.8611111111111112,9.0,0.28862786293029785
4,5,0.8111111111111111,7.0,0.2957146167755127
