,seed,test_acc,size,total_time
0,1,0.9473684210526315,3.0,0.025437116622924805
1,2,0.9298245614035088,3.0,0.024066686630249023
2,3,0.9298245614035088,3.0,0.024010181427001953
3,4,0.8596491228070176,3.0,0.023982524871826172
4,5,0.8421052631578947,3.0,0.023688316345214844
